mitre_technique,mitre_name,nist_controls,tactic,notes
T1566,Phishing,"AC-04, CA-07, CM-06, SC-07, SI-03, SI-04, SI-08",Initial Access,Email-borne threats — phishing attacks
T1566.001,Spearphishing Attachment,"CA-07, SC-07, SI-03, SI-04, SI-08",Initial Access,Targeted attachment delivery
T1566.002,Spearphishing Link,"CA-07, SC-07, SI-03, SI-04, SI-08",Initial Access,Targeted link delivery
T1566.003,Spearphishing via Service,"AC-02, CA-07, SC-07, SI-03, SI-04",Initial Access,Spearphishing via third-party services
T1059,Command and Scripting Interpreter,"AC-02, AC-06, CA-07, CM-06, SI-03, SI-04",Execution,Script-based execution
T1059.001,PowerShell,"AC-06, CA-07, CM-06, IA-02, RA-05, SI-03",Execution,PowerShell-based execution
T1059.003,Windows Command Shell,"AC-06, CM-06, SI-03",Execution,cmd.exe-based execution
T1059.004,Unix Shell,"AC-06, CM-06, SI-03",Execution,Bash/sh-based execution
T1059.005,Visual Basic,"AC-06, CM-06, RA-05, SI-03",Execution,VBA/VBScript execution
T1059.006,Python,"AC-02, AC-06, CM-06, SI-04",Execution,Python interpreter execution
T1059.007,JavaScript,"AC-06, CM-06, RA-05, SI-03",Execution,JS-based execution
T1204,User Execution,"CA-07, CM-06, SC-07, SI-03, SI-04",Execution,User-initiated malicious action
T1204.002,Malicious File,"CA-07, SI-03, SI-04",Execution,User opens malicious file
T1203,Exploitation for Client Execution,"CA-07, CM-06, SC-07, SI-03, SI-04",Execution,Client-side exploitation
T1078,Valid Accounts,"AC-02, AC-06, CA-07, CM-06, IA-02, SC-07, SC-28, SI-04",Defense Evasion; Initial Access; Persistence; Privilege Escalation,Compromised legitimate credentials
T1078.001,Default Accounts,"AC-02, AC-06, CA-07, SC-28",Defense Evasion; Initial Access; Persistence; Privilege Escalation,Factory default credentials
T1078.002,Domain Accounts,"IA-02",Defense Evasion; Initial Access; Persistence; Privilege Escalation,Active Directory accounts
T1078.003,Local Accounts,"AC-02, AC-06, CA-07, CM-06, SC-28, SI-04",Defense Evasion; Initial Access; Persistence; Privilege Escalation,Local OS accounts
T1078.004,Cloud Accounts,"AC-02, AC-06, CA-07, CM-06, SC-28, SI-04",Defense Evasion; Initial Access; Persistence; Privilege Escalation,Cloud service accounts
T1190,Exploit Public-Facing Application,"AC-02, CA-07, CM-06, IA-02, RA-05, SC-07, SI-03, SI-04",Initial Access,Web application exploitation
T1133,External Remote Services,"IA-02, SC-07",Initial Access,VPN/RDP/Citrix exploitation
T1189,Drive-by Compromise,"CA-07, SC-07, SI-03",Initial Access,Browser-based compromise
T1195,Supply Chain Compromise,"CA-07, CM-06, RA-05, SC-07, SI-03, SI-04",Initial Access,Software supply chain attack
T1195.001,Compromise Software Dependencies,"CA-07, RA-05, SI-03",Initial Access,Dependency/library poisoning
T1199,Trusted Relationship,"SC-07",Initial Access,Third-party access abuse
T1110,Brute Force,"AC-02, AC-06, CA-07, CM-06, IA-02, SI-04",Credential Access,Password brute forcing
T1110.001,Password Guessing,"AC-02, IA-02",Credential Access,Online password guessing
T1110.002,Password Cracking,"AC-02, IA-02",Credential Access,Offline password cracking
T1110.003,Password Spraying,"IA-02",Credential Access,Low-and-slow password attack
T1110.004,Credential Stuffing,"IA-02",Credential Access,Reuse of breached credentials
T1003,OS Credential Dumping,"AC-02, AC-06, CA-07, CM-06, CP-09, IA-02, SC-28, SI-03, SI-04",Credential Access,Memory/registry credential extraction
T1003.001,LSASS Memory,"AC-02, AC-06, CM-06, SC-28, SI-03, SI-04",Credential Access,LSASS process memory dumping
T1003.003,NTDS,"AC-02, AC-06, CM-06, CP-09, SC-28, SI-03",Credential Access,Active Directory database extraction
T1003.006,DCSync,"AC-02, AC-06, CM-06, SC-28, SI-03",Credential Access,Domain replication abuse
T1552,Unsecured Credentials,"AC-02, AC-06, CA-07, CM-06, RA-05, SC-28, SI-04",Credential Access,Credentials in files/registry
T1552.001,Credentials In Files,"AC-02, AC-06, CA-07, RA-05, SC-28",Credential Access,Hardcoded credentials in files
T1552.004,Private Keys,"AC-02, AC-06, CA-07, SC-28",Credential Access,Private key theft
T1555,Credentials from Password Stores,"CA-07, CM-06, SI-04",Credential Access,Browser/keychain credential theft
T1556,Modify Authentication Process,"AC-02, AC-06, CA-07, CM-06, IA-02, SI-04",Credential Access; Defense Evasion; Persistence,Authentication mechanism tampering
T1556.001,Domain Controller Authentication,"AC-02, AC-06, CA-07, SI-04",Credential Access; Defense Evasion; Persistence,DC authentication modification
